time, Average weekly hours of production and nonsupervisory employees computer systems design and related services seasonally 
Feb-2022,38.4
Mar-2022,38.5
Apr-2022,38.4
May-2022,38.3
Jun-2022,38.6
Jul-2022,38.51262255646453
Aug-2022,38.51423585468995
Sep-2022,38.515848639311216
Oct-2022,38.51746091032833
Nov-2022,38.5190726677413
Dec-2022,38.5206839115501
Jan-2023,38.5362071371925
Feb-2023,38.212042267688794
Mar-2023,38.264105512742006
Apr-2023,38.75583784551581
May-2023,38.28586589389283
Jun-2023,38.70910635737841
Jul-2023,37.88355215733994
Aug-2023,37.97822803214562
Sep-2023,38.87690354801786
Oct-2023,38.507457842195045
Nov-2023,38.20399735147176
Dec-2023,38.86601150243767
Jan-2024,38.818615738496774
Feb-2024,38.47951128038963
Mar-2024,38.46807704293395
Apr-2024,38.18180185793792
May-2024,38.88929178686746
Jun-2024,38.61427953834683
Jul-2024,37.77579636471107
Aug-2024,38.15323238191424
Sep-2024,38.14697345659592
Oct-2024,37.882408260867926
Nov-2024,38.125713936704074
Dec-2024,39.15831872079037
Jan-2025,38.43619369835147
Feb-2025,38.925971848681904
Mar-2025,38.83444121873323
Apr-2025,38.46597377636658
May-2025,38.469952193062355
Jun-2025,39.02962930654987
Jul-2025,38.336021543928155
Aug-2025,38.536392360393904
Sep-2025,38.732414801559
Oct-2025,38.6093859231429
Nov-2025,38.30021200500126
Dec-2025,38.74165671243725
Jan-2026,38.25224113321955
Feb-2026,38.84996346743949
Mar-2026,38.38268050291168
Apr-2026,38.80538719035889
May-2026,38.85177465479247
Jun-2026,38.56101045139491
Jul-2026,38.117295389503894
Aug-2026,38.27368777786
Sep-2026,39.072961991535976
Oct-2026,38.05372319327043
Nov-2026,38.44137188339211
Dec-2026,38.19852552270709
Jan-2027,38.19397225247224
Feb-2027,38.492486504584804
Mar-2027,39.073489367659164
Apr-2027,38.36356633052927
May-2027,38.23092253295814
Jun-2027,38.96055318228931
Jul-2027,38.7440960847651
Aug-2027,38.719989831031576
Sep-2027,38.39002923880515
Oct-2027,38.791553262287664
Nov-2027,38.01448444000246
Dec-2027,37.93685141915305
Jan-2028,38.429841823111964
Feb-2028,39.08393160744553
Mar-2028,38.87302139787235
Apr-2028,38.50532594792023
May-2028,38.80779228698402
Jun-2028,38.711645250560245
Jul-2028,38.958498014589615
Aug-2028,38.61061011792061
Sep-2028,38.66412542757408
Oct-2028,38.86329562888334
Nov-2028,38.741856755565124
Dec-2028,38.39956549077116
Jan-2029,38.209726196574636
Feb-2029,38.46311234353938
Mar-2029,37.97505299697868
Apr-2029,38.64226825691329
May-2029,39.03416821228707
Jun-2029,39.036389646242675
Jul-2029,38.507430360736954
Aug-2029,38.817065478100716
Sep-2029,38.64609346789864
Oct-2029,39.460665828656715
Nov-2029,39.16568026648851
Dec-2029,38.56353370679325
Jan-2030,39.581407494515084
Feb-2030,38.29580253722596
Mar-2030,38.149496344450036
Apr-2030,38.594456675168146
May-2030,38.5415706045501
Jun-2030,38.51473912696677
Jul-2030,38.32132017624825
Aug-2030,39.21281074395071
Sep-2030,38.61430906521665
Oct-2030,39.12143100586827
Nov-2030,38.20764044248271
Dec-2030,38.51844213335439
Jan-2031,38.77057749158185
Feb-2031,38.41370015634207
Mar-2031,38.666128703499275
Apr-2031,38.445240213126915
May-2031,38.115410237764
Jun-2031,38.919264689320656
Jul-2031,38.85955291356696
Aug-2031,39.382066357645975
Sep-2031,39.01935740799534
Oct-2031,38.937956824534915
Nov-2031,38.397483179240425
Dec-2031,38.28910282920263
Jan-2032,37.66931904380296
